Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
-3.970048523,-2.512336381,5.346329613,-1.012008712,1.844900361,0.329839797,-0.491590483,good
-1.195217191,-2.839256528,3.664058758,1.588232309,0.853285795,0.867530082,-0.722809367,good
-0.292023862,-1.351281995,-1.738429162,-0.342615928,2.838635512,-0.038033328,2.621636473,bad
-0.657195773,-2.271626609,1.324873847,-0.097874716,3.637970491,-3.413761338,0.790723217,good
1.36421682,-1.296611877,-0.384658206,-0.55300577,3.030874354,-1.303849429,0.501984036,good
-3.425399755,-1.409082204,-1.913511195,-0.555774864,-3.85307147,1.914615916,-2.981523169,bad
1.331605736,1.635955715,0.875974244,-1.67779794,3.106344455,-1.847416733,2.414170509,good
-1.995462096,-0.42895848,1.530643583,-0.742971676,0.158834003,0.974437858,-1.470125066,good
-3.867632233,-3.734513576,0.986429067,-1.20765455,2.292872919,4.080920787,-4.871904758,bad
-0.727982709,-0.442820353,-4.092222827,0.597512917,0.393714261,1.620856772,2.185607723,bad
-2.69933629,-1.329506988,-1.418506853,-0.625545768,2.371074371,3.403164523,-2.810808169,bad
2.450959845,-0.564177407,-1.635040727,0.942399869,-2.08731667,1.214321691,1.294323927,good
-0.170811719,-1.867271142,-1.771844728,2.413155317,-3.094554738,-0.624884375,-2.076113997,bad
-1.345530536,-1.623701121,2.044143754,1.754812932,0.997567093,0.434179855,1.724026084,good
2.839580937,-0.344798192,-1.019797291,0.894580857,-1.300060883,0.58237862,1.709708209,good
-2.659887385,-2.795684208,4.230403587,0.697550395,2.180911101,-0.088775396,-1.083620788,good
-1.468951547,-1.950359588,-2.214372889,0.909758509,2.864448854,3.965955655,-0.558208683,bad
-0.074370177,-4.714749953,0.249767641,2.935319065,1.4097551,-2.643810206,1.250970347,good
-0.302364267,1.724395847,-2.442337223,3.465108479,0.449791675,-0.074362452,2.493781985,bad
-2.108049899,0.356467403,-1.156193279,4.326722517,1.561543116,-4.630174264,-1.37665721,good
-2.334589505,-2.943708903,-3.452627724,0.76239173,4.076462369,6.346445353,0.726775672,bad
1.177592782,-0.721654493,-1.387116215,7.619851801,1.069288382,-3.734805414,2.642948241,good
-2.423946222,-0.698500653,0.146030407,0.630106169,2.990560508,0.779472898,3.184188187,bad
0.135714199,-0.753756857,-2.196146456,1.039276088,0.580537553,0.227308777,2.086618541,bad
0.522960759,-1.428085244,-0.743518743,1.786716194,-4.207543546,-1.825231216,-1.430429857,bad
-1.299468393,-3.504792012,-1.129402004,0.555905383,-2.807550163,1.714630108,-3.846641823,bad
-0.300698281,-0.513603251,0.921006242,1.378172075,2.274746687,0.745336375,-2.93402889,good
1.999830964,0.669989798,-2.099615991,2.645818971,-0.989495892,0.373330128,-2.397691796,bad
1.44605205,1.656691823,-1.77752075,1.708962209,-0.341670322,-1.322439494,-1.158128067,bad
-0.595825477,1.53467991,-1.769318974,0.664501835,-0.432874451,0.800438687,1.64595436,bad
0.41049215,-2.260290059,-3.335948019,-0.285205194,-2.733844264,2.585985706,-3.036919711,bad
-2.560871547,-0.096411696,2.413774105,1.318293666,3.271688133,-1.797184556,-2.636844815,good
1.681662618,-2.981673805,-0.079805091,-0.947866387,3.034812556,-0.708611234,1.166970737,good
-0.588796035,-1.121987147,2.324295089,0.31193071,5.148739416,-3.351988405,5.560108693,bad
-0.034367939,-1.332805096,2.329101271,2.862758897,0.825239311,1.062672091,2.300330525,good
-0.955402343,-2.461096775,-4.087156169,0.839107617,1.003216188,4.97563997,-0.98138767,bad
